Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
421,2023-03-23,156.5162353515625,159.0964541870748,155.28521978995877,156.41776312286146,67622100
422,2023-03-24,157.81617736816406,157.90480687220796,155.45263376473136,156.44728881765926,59196500
423,2023-03-27,155.8760986328125,158.3282868109909,155.4723219600322,157.5108907515981,52390300
424,2023-03-28,155.2556610107422,156.08291480553032,153.61102618902072,155.57080817581272,45992200
425,2023-03-29,158.3283233642578,158.60406968566105,156.929891297985,156.94957673019417,51305700
426,2023-03-30,159.89414978027344,160.00247975071784,158.82070781762587,159.07675364456477,49501700
427,2023-03-31,162.3955535888672,162.4940408365555,159.45097422374334,159.9729235769942,68749800
428,2023-04-03,163.6462860107422,163.76445869825218,161.7259047034759,161.77514833228696,56976200
429,2023-04-04,163.11448669433594,164.30610131295074,162.60238002597387,164.06975594835677,46278300
430,2023-04-05,161.27285766601562,162.54327395468036,159.3426339632527,162.23798454444034,51511700
431,2023-04-06,162.15921020507812,162.45465692468338,159.5396056660462,159.96306777674639,45390100
432,2023-04-10,159.56915283203125,159.56915283203125,157.64877164706385,158.96841666370352,47716900
433,2023-04-11,158.3578643798828,159.89416958590462,158.07226031922266,159.88432686993428,47644200
434,2023-04-12,157.66847229003906,159.59869619161648,157.35332510698044,158.77145737665472,50133100
435,2023-04-13,163.0455322265625,163.28189260314673,158.96840964951016,159.17522685740187,68445600
436,2023-04-14,162.70083618164062,163.79397836508667,161.33194777417597,162.0902423767061,49386500
437,2023-04-17,162.72055053710938,162.8781241294329,161.53877864877254,162.5826774005875,41516200
438,2023-04-18,163.9417266845703,164.8674527745674,163.13417327770642,163.5773508935462,49923000
439,2023-04-19,165.08413696289062,165.60608642613127,163.02586725800396,163.2819281451353,47720200
440,2023-04-20,164.11895751953125,165.32042968183282,163.0455157599964,163.5674650569094,52456400
441,2023-04-21,162.51376342773438,163.92203809382642,161.99181400338804,162.54330660065614,58337300
442,2023-04-24,162.8190460205078,163.0849495926161,161.40091367199096,162.49405610505224,41949600
443,2023-04-25,161.28274536132812,163.78416246885476,161.24334444666383,162.68117729099055,48714100
444,2023-04-26,161.27285766601562,162.76977657727082,160.32744626830737,160.58349205788602,45498800
445,2023-04-27,165.85227966308594,165.99999552987848,162.68118215487013,162.68118215487013,64902300
446,2023-04-28,167.1029510498047,167.2703823718156,165.33030085507355,165.93103698503495,55275900
447,2023-05-01,167.0143280029297,167.86126725124362,166.07875924686118,166.70903856930101,52472900
448,2023-05-02,165.9802703857422,167.76279339985444,164.99545801480568,167.50673256610264,48425700
449,2023-05-03,164.9068603515625,168.32416114075937,164.6212713207429,166.92572910723644,65136000
450,2023-05-04,163.27206420898438,164.50307988258416,161.81454585901537,162.38573893481126,81235400
451,2023-05-05,170.93389892578125,171.65280778469676,168.1665634032941,168.38322333782398,113453200
452,2023-05-08,170.86497497558594,171.20966537396347,169.49608615179136,169.86046198141287,55962800
453,2023-05-09,169.16127014160156,170.90437768216194,168.99385379727335,170.4218291094066,45326900
454,2023-05-10,170.92404174804688,171.38690478906514,169.28924951921832,170.39224965147537,53724500
455,2023-05-11,171.1111602783203,171.93839911576495,169.5551548305296,171.20964753246403,49514700
456,2023-05-12,170.18417358398438,171.65356424240227,168.63587209674515,171.21964497087455,45533100
457,2023-05-15,169.6910858154297,170.815324358024,169.09937498339835,170.76601261404946,37266700
458,2023-05-16,169.6910858154297,170.74628490689332,169.42481443623242,169.61219003463674,42110300
459,2023-05-17,170.302490234375,170.53916250241704,168.06386972955488,169.3360433616003,57951600
460,2023-05-18,172.62985229492188,172.81722786089622,170.19400003291315,170.60819152451643,65496700
461,2023-05-19,172.73834228515625,173.9513327998332,172.5213826746833,173.9513327998332,55809500
462,2023-05-22,171.7916259765625,172.2945846931845,171.0519949677244,171.57466634347682,43570900
463,2023-05-23,169.18809509277344,170.98293990870613,168.91196743614205,170.73639628329747,50747300
464,2023-05-24,169.4642333984375,170.03621645106807,168.16249079935005,168.7246024757336,45143500
465,2023-05-25,170.59832763671875,171.49573497151061,169.31629781123684,170.02634463618594,56058300
466,2023-05-26,173.0045928955078,173.3399036765556,170.7166757800904,170.92377905521317,54835000
467,2023-05-30,174.84878540039062,176.51542312806916,174.1288820495124,174.5134895983742,55964400
468,2023-05-31,174.7994384765625,176.87041104464083,174.3162075312564,174.87833424607143,99625300
469,2023-06-01,177.6001739501953,177.62975798334406,174.4838587106697,175.24321733975688,68901800
470,2023-06-02,178.44827270507812,179.26679934554073,176.78163539298924,178.52716847079088,61996900
471,2023-06-05,177.0972442626953,182.3929972823034,175.57852688511534,180.10507993454968,121946500
472,2023-06-06,176.7323760986328,177.62978364684957,174.97697127382227,177.48186345973468,64848400
473,2023-06-07,175.361572265625,178.70470351330488,174.8684849721747,175.97299569419778,61944600
474,2023-06-08,178.0735626220703,178.33981894141047,175.0065588784877,175.44046308150416,50214900
475,2023-06-09,178.4581756591797,179.71060666093933,178.13273621096323,178.99070336218668,48900000
476,2023-06-12,181.2490234375,181.34764691680866,178.468018885392,178.7638742754878,54274900
477,2023-06-13,180.77565002441406,181.60403301510047,179.91768300176238,180.272706433175,54929100
478,2023-06-14,181.4068145751953,181.84073380664427,179.50350482104812,180.83483150172444,57462900
479,2023-06-15,183.43833923339844,183.94129793003785,181.23917400121888,181.4166932611595,65433200
480,2023-06-16,182.3634033203125,184.40479194393566,181.72239585614398,184.14837692000424,101256200
481,2023-06-20,182.45216369628906,183.52710548415504,181.86046794433722,181.86046794433722,49799100
482,2023-06-21,181.41668701171875,182.84663717983523,180.0656175699355,182.34367850052172,49515700
483,2023-06-22,184.41465759277344,184.46396933431626,181.13069423738702,181.19973368511316,51245300
484,2023-06-23,184.09909057617188,184.96692915011988,182.45218058994394,182.9847233686237,53117000
485,2023-06-26,182.70858764648438,185.45015206010262,182.66913223239737,184.2470177435845,48088700
486,2023-06-27,185.45999145507812,185.78543087633778,183.10303478095216,183.31999439512526,50730800
487,2023-06-28,186.63352966308594,187.27453708797546,185.0063477089331,185.33177206150037,51216800
488,2023-06-29,186.96885681152344,187.44223149955704,186.3278492789131,186.46591313429835,46347300
489,2023-06-30,191.28831481933594,191.7912585176698,188.6157746627016,188.9806695476879,85213200
490,2023-07-03,189.7991943359375,191.19956064074086,189.10885998965753,191.10093714903454,31458200
491,2023-07-05,188.68478393554688,190.311965971159,187.98459336367247,188.92147125163748,46920300
492,2023-07-06,189.15814208984375,189.36524537083605,186.5842258571581,187.2153769807983,45094300
493,2023-07-07,188.04379272460938,190.00628587990153,187.60988847797856,188.76371112125616,46815000
494,2023-07-10,186.00238037109375,187.36330604998784,184.45407912216882,186.6433878022031,59922200
495,2023-07-11,185.479736328125,186.68287064614393,184.02020200954667,186.54480679233018,46638100
496,2023-07-12,187.1463623046875,189.04967210294507,185.86433228601203,187.05759515232103,60750200
497,2023-07-13,187.9056854248047,188.5467078881079,187.15619821079162,187.86624506525828,41342300
498,2023-07-14,188.05364990234375,188.53686585918993,187.00830716161786,187.6000029338883,41616200
499,2023-07-17,191.30801391601562,191.63345333608896,189.15814548736353,189.24689758888442,50520200
500,2023-07-18,191.0515899658203,191.64330071063998,189.75970372238763,190.6768538720752,48288200
501,2023-07-19,192.4026641845703,195.48938034906212,189.9865244553515,190.4303150490968,80507300
502,2023-07-20,190.4599151611328,193.7537348839622,189.8386203157028,192.39280905028917,59581200
503,2023-07-21,189.286376953125,192.2744851317762,188.58618628535973,191.41651794617295,71951700
504,2023-07-24,190.0851593017578,192.21530010696893,189.59207198839397,190.73603816687742,45377800
505,2023-07-25,190.943115234375,191.75178560391285,190.2527960456413,190.65713123041024,37283200
506,2023-07-26,191.81094360351562,192.93518195125802,190.64726489612826,190.99241694846552,47471900
507,2023-07-27,190.5486602783203,194.47363103189025,189.8879250921341,193.3099522093675,47460200
508,2023-07-28,193.12255859375,193.91150122150714,191.45592124266818,191.9785925358936,48291400
509,2023-07-31,193.73399353027344,193.77344894031904,192.56044337061044,193.34938604539337,38824100
510,2023-08-01,192.9055938720703,194.0101044929012,192.58015448246934,193.52688862020202,35175100
511,2023-08-02,189.91751098632812,192.48155598125388,189.19760772385698,192.3434921357412,50389300
512,2023-08-03,188.5269775390625,189.7103839306254,188.05361799200307,188.92145636813592,61235200
513,2023-08-04,179.473876953125,184.78935614448926,179.40483752506077,182.95507123543413,115956800
514,2023-08-07,176.37734985351562,180.59817633552169,174.8980878140883,179.61200164257014,97576100
515,2023-08-08,177.314208984375,177.77771228390873,175.12490000933562,177.20572916857282,67823000
516,2023-08-09,175.72647094726562,178.42857997538025,174.5627769846933,178.36941190145535,60378500
517,2023-08-10,175.5094757080078,178.25103959448677,175.1445959609342,176.99859377509202,54686900
518,2023-08-11,175.56871032714844,176.3883422330506,174.34421235488568,175.1045963031813,52036700
519,2023-08-14,177.2178955078125,177.44501774834183,175.09474782272636,175.74650562753334,43675600
